ChurchName,ConferenceName
All Nations Seventh-day Adventist Church of Elk Grove,Northern California Conference
All Nations Seventh-day Adventist Company,Oklahoma Conference
All Nations Seventh-day Adventist Group,Chesapeake Conference
All Nations Seventh-day Adventist Mission,Northeastern Conference
All Nations Seventh-day Adventist Church,Washington Conference
All Nations Worship Ctr Seventh-day Adventist Grp,Arkansas-Louisiana Conference
Allegan Seventh-day Adventist Church,Michigan Conference
Allentown Hispanic Seventh-day Adventist Church,Pennsylvania Conference
Allentown Seventh-day Adventist Church,Pennsylvania Conference
Alliance Seventh-day Adventist Church,Kansas-Nebraska Conference
Allon Chapel SDA,Central States Conference
Allston Hispanic Seventh-day Adventist Mission,Northeastern Conference
Alma Seventh-day Adventist Company,Arkansas-Louisiana Conference
Alma Twin Cities Seventh-day Adventist Church,Michigan Conference
Almond Seventh-day Adventist Church,Wisconsin Conference
Alpena Seventh-day Adventist Church,Michigan Conference
Alpha & Omega Church,Nevada-Utah Conference
Alpha & Omega Seventh-day Adventist Church,Allegheny West Conference
Alpha Seventh-day Adventist Church,Southwest Region Conference
Alpha Seventh-day Adventist Church (Decatur),South Central Conference
Alpharetta Seventh-day Adventist Church,Georgia-Cumberland Conference
ALSAD Seventh-day Adventist Spanish Church,Southeastern California Conference
Altadena Seventh-day Adventist Church,Southern California Conference
Altamonte Springs Seventh-day Adventist Church,Florida Conference
Altamonte Springs Spanish Seventh-day Adventist Church,Florida Conference
Alton Seventh-day Adventist Church,Illinois Conference
Altoona Seventh-day Adventist Church,Pennsylvania Conference
Alturas Seventh-day Adventist Church,Northern California Conference
Altus Seventh-day Adventist Church,Oklahoma Conference
Alva Seventh-day Adventist Church,Oklahoma Conference
Alvarado Seventh-day Adventist Church,Texas Conference
Alvarado Spanish Seventh-day Adventist Church,Texas Conference
Alvin Spanish Seventh-day Adventist Church,Texas Conference
Amarillo Karen Seventh-day Adventist Company,Texico Conference
Amarillo Seventh-day Adventist Church,Texico Conference
Amarillo Spanish Seventh-day Adventist Church,Texico Conference
Amazing Grace Seventh-day Adventist Church,Northeastern Conference
Ambassador Seventh-day Adventist Church,Florida Conference
Ambassadors for Christ Company,Illinois Conference
Ambassadors Group,Greater New York Conference
Ambassadors of Christ Seventh-day Adventist Church,New York Conference
American Canyon Fil-Am Seventh-day Adventist Church,Northern California Conference
Americus - Eastview Seventh-day Adventist Church,South Atlantic Conference
Ames Seventh-day Adventist Church,Iowa-Missouri Conference
Amesbury Seventh-day Adventist Church,Southern New England Conference
Amherst Campus Seventh-day Adventist Group,Southern New England Conference
Amicus Seventh-day Adventist Church,Potomac Conference
Amigos de Jesus,Allegheny East Conference
Amity Seventh-day Adventist Church,Arkansas-Louisiana Conference
Amsterdam Hispanic Seventh-day Adventist Church,Northeastern Conference
Amsterdam Seventh-day Adventist Church,New York Conference
Anacortes Adventist Fellowship Company,Washington Conference
Anaheim La Esperanza Company,Southeastern California Conference
Anaheim Seventh-day Adventist Church,Southeastern California Conference
Anaheim Spanish Seventh-day Adventist Church,Southeastern California Conference
Anchor Point Adventist Church,Upper Columbia Conference
Anchorage Community Seventh-day Adventist Church,Alaska Conference
Anchorage Korean Seventh-day Adventist Church,Alaska Conference
Anchorage Northside Seventh-day Adventist Church,Alaska Conference
Anchorage Spanish Seventh-day Adventist Church,Alaska Conference
Anderson -  First Seventh-day Adventist Church,South Atlantic Conference
Anderson Hispanic Seventh-day Adventist Church,Indiana Conference
Anderson Seventh-day Adventist Church,Indiana Conference
Anderson Seventh-day Adventist Church,Northern California Conference
Andover Seventh-day Adventist Church,Minnesota Conference
Andrews - Andrews Seventh-day Adventist Church,South Atlantic Conference
Andrews Korean Seventh-day Adventist Church,Michigan Conference
Andrews Seventh-day Adventist Church,Georgia-Cumberland Conference
Angaza Sharon Adventist Church,Allegheny East Conference
Angels Camp Seventh-day Adventist Church,Northern California Conference
Angola Seventh-day Adventist Church,Indiana Conference
Angwin Village Seventh-day Adventist Church,Northern California Conference
Ankeny Seventh-day Adventist Church,Iowa-Missouri Conference
Ann Arbor Central Korean Seventh-day Adventist Company,Michigan Conference
Ann Arbor Seventh-day Adventist Church,Michigan Conference
Ann Arbor Spanish Seventh-day Adventist Church,Michigan Conference
Annandale Spanish Seventh-day Adventist Church,Potomac Conference
Annapolis Seventh-day Adventist Church,Chesapeake Conference
Annapolis Spanish Seventh-day Adventist Church,Chesapeake Conference
Anniston Seventh-day Adventist Church,Gulf States Conference
Antelope Hills Seventh-day Adventist Church,Northern California Conference
Antelope Valley Seventh-day Adventist Church,Southern California Conference
Antigo Seventh-day Adventist Church,Wisconsin Conference
Antioch Seventh-day Adventist Church,Greater New York Conference
Antioch Seventh-day Adventist Church,Northern California Conference
Antioch Seventh-day Adventist Church,Northeastern Conference
Antioche Fr. Company,Greater New York Conference
Antioche Seventh-day Adventist Mission,Northeastern Conference
Antlers Seventh-day Adventist Church,Oklahoma Conference
Antorcha Hispanic Seventh-day Adventist Church,Gulf States Conference
Apache Junction Church,Arizona Conference
Apache Junction Spanish Company,Arizona Conference
Apex The Vine Seventh-day Adventist  Church,Carolina Conference
Apison Seventh-day Adventist Church,Georgia-Cumberland Conference
Apocalipsis 14 Hispanic Seventh-day Adventist Church,Northeastern Conference
Apopka Franco Haitian Seventh-day Adventist Company,Florida Conference
Apopka Seventh-day Adventist Church,Florida Conference
Apopka Spanish Seventh-day Adventist Church,Florida Conference
Apple Creek Adventist Church,Ontario Conference
Apple Valley All Nations Seventh-day Adventist Church,Southeastern California Conference
Appomattox Seventh-day Adventist Church,Potomac Conference
Arbuckle View Seventh-day Adventist Church,Oklahoma Conference
Arcadia Hispanic Group,Wisconsin Conference
Arcadia Seventh-day Adventist Church,Florida Conference
Arcata McKinleyville Seventh-day Adventist Church,Northern California Conference
Arctic Seventh-day Adventist Church,Alaska Conference
Arden Hills Seventh-day Adventist Church,Southeastern California Conference
Arden Seventh-day Adventist Church,Carolina Conference
Arden Spanish Seventh-day Adventist Company,Carolina Conference
Ardmore Seventh-day Adventist Church,Oklahoma Conference
Ardmore Spanish Seventh-day Adventist Group,Oklahoma Conference
Argyle Forest Seventh-day Adventist Company,Florida Conference
Arise Cape Verdean Group,Southern New England Conference
Arise Miami Seventh-day Adventist Church,Florida Conference
Arizona Korean Seventh-day Adventist Church,Arizona Conference
Arizona Lao-American Seventh-day Adventist Group,Arizona Conference
Arkadelphia Seventh-day Adventist Church,Arkansas-Louisiana Conference
Arkansas City Hispanic Seventh-day Adventist Church,Kansas-Nebraska Conference
Arkansas Valley Seventh-day Adventist Church,Rocky Mountain Conference
Arlington Adventist Church,Washington Conference
Arlington Alpha International Seventh-day Adventist Church,Texas Conference
Arlington Metro Community Church,Southwest Region Conference
Arlington Mount Zion Fellowship SDA,Texas Conference
Arlington Seventh-day Adventist Church,Minnesota Conference
Arlington Seventh-day Adventist Church,Southeastern California Conference
Arlington Seventh-day Adventist Church,Texas Conference
Arlington Southern Worship Center Seventh-day Adventist Ch,Texas Conference
Arlington Spanish Central Seventh-day Adventist Church,Texas Conference
Arlington Spanish North Seventh-day Adventist Church,Texas Conference
Arlington Spanish Seventh-day Adventist Church,Potomac Conference
Arlington Spanish South Seventh-day Adventist Church,Texas Conference
Armenian Seventh-day Adventist Company,Southern California Conference
Armona Seventh-day Adventist Church,Central California Conference
Armstrong Seventh-day Adventist Church,British Columbia Conference
Arroyo Grande Seventh-day Adventist Church,Central California Conference
Artesia Bilingual Seventh-day Adventist Company,Texico Conference
Artichoke Seventh-day Adventist Church,Minnesota Conference
Arvada Seventh-day Adventist Church,Rocky Mountain Conference
Arvada Spanish Ministry,Rocky Mountain Conference
Arvin Bilingual Seventh-day Adventist Church,Central California Conference
Asbury Park Church Plant,New Jersey Conference
Ash Fork Seventh-day Adventist Group,Arizona Conference
Ashcroft Seventh-day Adventist Church,British Columbia Conference
Asheboro Seventh-day Adventist Church,Carolina Conference
Asheboro Spanish Seventh-day Adventist Church,Carolina Conference
Asheville - Bethel Seventh-day Adventist Church,South Atlantic Conference
Asheville Evergreen Korean Company,Carolina Conference
Asheville Foster Seventh-day Adventist Church,Carolina Conference
Asheville Hispanic Seventh-day Adventist Mission Group,Carolina Conference
Asheville Korean Seventh-day Adventist Group,Carolina Conference
Asheville North Seventh-day Adventist Church,Carolina Conference
Ashland Adventist Church,Oregon Conference
Ashland City Seventh-day Adventist Church,Kentucky-Tennessee Conference
Ashland Seventh-day Adventist Church,Wisconsin Conference
Ashland Seventh-day Adventist Church,Kentucky-Tennessee Conference
Ashley Phosphate Hispanic Mission Group,Carolina Conference
Ashtabula Seventh-day Adventist Church,Ohio Conference
Asian-American Seventh-day Adventist Church,Central California Conference
Aspen Hill Spanish Seventh-day Adventist Church,Potomac Conference
Aspen Park Seventh-day Adventist Church,Rocky Mountain Conference
Astoria Adventist Church,Oregon Conference
Astoria Seventh-day Adventist Church,Greater New York Conference
Astoria Spanish Seventh-day Adventist Church,Greater New York Conference
Atascosa First Seventh-day Adventist Church,Texas Conference
Athens - Mt Olive Seventh-day Adventist Church,South Atlantic Conference
Athens Georgia Hispanic Seventh-day Adventist Company,Georgia-Cumberland Conference
Athens Georgia Seventh-day Adventist Church,Georgia-Cumberland Conference
Athens Seventh-day Adventist Church,Gulf States Conference
Athens Seventh-day Adventist Church,Ohio Conference
Athens Seventh-day Adventist Church,Texas Conference
Athens Tennessee Seventh-day Adventist Church,Georgia-Cumberland Conference
Athol Adventist Church,Upper Columbia Conference
Athol Seventh-day Adventist Church,Southern New England Conference
Atholton Seventh-day Adventist Church,Chesapeake Conference
Atlanta - Atlanta Boulevard Seventh-day Adventist Church,South Atlantic Conference
Atlanta - Berean Seventh-day Adventist Church,South Atlantic Conference
Atlanta - Ebenezer French Seventh-day Adventist Church,South Atlantic Conference
Atlanta - Korean Mission Seventh-day Adventist Church,South Atlantic Conference
Atlanta - Maranatha Seventh-day Adventist Church,South Atlantic Conference
Atlanta - West End Seventh-day Adventist Church,South Atlantic Conference
Atlanta Abahiriwe Seventh-day Adventist Company,Georgia-Cumberland Conference
Atlanta Advent Hope Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta All Nations Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Belvedere Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Filipino International Seventh-day Adventist Comp,Georgia-Cumberland Conference
Atlanta First Brazilian Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta First Hispanic Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Ghanaian Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta International Mission Seventh-day Adventist Compa,Georgia-Cumberland Conference
Atlanta Karen Seventh-day Adventist Company,Georgia-Cumberland Conference
Atlanta Kenyan Upendo Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Korean Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Metropolitan Hispanic Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Metropolitan Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta North Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Pillars of Faith Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Romanian Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Russian Light of Life Seventh-day Adventist MG,Georgia-Cumberland Conference
Atlanta Seventh-day Adventist Church,Texas Conference
Atlanta Southside Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlanta Storyline Seventh-day Adventist MG,Georgia-Cumberland Conference
Atlanta Zomi Seventh-day Adventist Church,Georgia-Cumberland Conference
Atlantic City Spanish Seventh-day Adventist Church,New Jersey Conference
Atlantic County Seventh-day Adventist Church,New Jersey Conference
Atlantic Seventh-day Adventist Church,Iowa-Missouri Conference
Attleboro Seventh-day Adventist Church,Southern New England Conference
Attleboro Spanish Seventh-day Adventist Church,Southern New England Conference
Atwells Seventh-day Adventist Mission,Northeastern Conference
Auberry Seventh-day Adventist Church,Central California Conference
Auburn Adventist Academy Church,Washington Conference
Auburn City Adventist Church,Washington Conference
Auburn Hispanic Seventh-day Adventist Church,Washington Conference
Auburn Seventh-day Adventist Church,Georgia-Cumberland Conference
Auburn Seventh-day Adventist Church,Northern California Conference
Auburn Seventh-day Adventist Church,Northern New England Conference
Auburn Seventh-day Adventist Church,New York Conference
Auburn-Opelika Hispanic Seventh-day Adventist Church,Gulf States Conference
Auburn-Opelika Metro Seventh-day Adventist Church,Gulf States Conference
Augusta - Ebenezer Seventh-day Adventist Church,South Atlantic Conference
Augusta First Seventh-day Adventist Church,Georgia-Cumberland Conference
Augusta Seventh-day Adventist Church,Northern New England Conference
Augusta Spanish-American Seventh-day Adventist Church,Georgia-Cumberland Conference
Aurora First Seventh-day Adventist Church,Rocky Mountain Conference
Aurora Hispanic Seventh-day Adventist Church,Rocky Mountain Conference
Aurora Hispanic Seventh-day Adventist Church,Illinois Conference
Aurora Seventh-day Adventist Church,Kansas-Nebraska Conference
Aurora West Spanish Seventh-day Adventist Church,Central States Conference
Austell Grandview Seventh-day Adventist Church,Georgia-Cumberland Conference
Austin Central SDA,Texas Conference
Austin Crosslink Seventh-day Adventist Church,Texas Conference
Austin New Beginning Seventh-day Adventist Church,Texas Conference
Austin South Seventh-day Adventist Church,Texas Conference
Austin Southwest Seventh-day Adventist Mission Group,Texas Conference
Austin Spanish Central Seventh-day Adventist Church,Texas Conference
Austin Spanish East Seventh-day Adventist Church,Texas Conference
Austin Spanish First Seventh-day Adventist Church,Texas Conference
Austin Spanish Oltorf Seventh-day Adventist Church,Texas Conference
Austin Spanish Panamerican Seventh-day Adventist Church,Texas Conference
Austin Stonehill Seventh-day Adventist Church,Texas Conference
Ava Seventh-day Adventist Church,Iowa-Missouri Conference
Avon Park Seventh-day Adventist Church,Florida Conference
Avon Park Spanish Seventh-day Adventist Church,Florida Conference
Avondale Spanish Seventh-day Adventist Church,Arizona Conference
Aztec Seventh-day Adventist Church,Rocky Mountain Conference
Azure Hills Seventh-day Adventist Church,Southeastern California Conference
Babylon Seventh-day Adventist Church,Greater New York Conference
Back to the Bible Seventh-day Adventist Church (Tchula),South Central Conference
Bad Axe Seventh-day Adventist Church,Michigan Conference
Bailey  Spanish Seventh-day Adventist Church,Greater New York Conference
Baker City Seventh-day Adventist Church,Idaho Conference
Bakersfield Central Hispanic Seventh-day Adventist Church,Central California Conference
Bakersfield Central Seventh-day Adventist Church,Central California Conference
Bakersfield Hillcrest Seventh-day Adventist Church,Central California Conference
Bakersfield Hispanic Seventh-day Adventist Church,Central California Conference
Bakersfield Korean Seventh-day Adventist Church,Central California Conference
Bakersfield Southside Seventh-day Adventist Church,Central California Conference
Baldwin Park Bilingual Seventh-day Adventist Church,Southern California Conference
Baldwinsville Seventh-day Adventist Church,New York Conference
Baltimore Centro Ch. -La Esperanza,Chesapeake Conference
Baltimore El Eden Spanish group,Chesapeake Conference
Baltimore Hebrew Adventist Group,Allegheny East Conference
Baltimore Korean Seventh-day Adventist Church,Chesapeake Conference
Baltimore Spanish Seventh-day Adventist Church,Chesapeake Conference
Baltimore-White Marsh Seventh-day Adventist Church,Chesapeake Conference
Bancroft Adventist Group,Ontario Conference
Bandon Adventist Church,Oregon Conference
Bangor Seventh-day Adventist Church,Northern New England Conference
Banner Elk Seventh-day Adventist Church,Carolina Conference
Banning Seventh-day Adventist Church,Southeastern California Conference
Barberton Seventh-day Adventist Church,Ohio Conference
Barnesville Seventh-day Adventist Church,Maritime Conference
Barre-Montpelier Seventh-day Adventist Church,Northern New England Conference
Barrie Adventist Church,Ontario Conference
Barriere Community Seventh-day Adventist Company,British Columbia Conference
Barrington Spanish Seventh-day Adventist Church,Illinois Conference
Barstow Bilingual Seventh-day Adventist Church,Southeastern California Conference
Barstow Seventh-day Adventist Church,Southeastern California Conference
Bartlesville Seventh-day Adventist Church,Oklahoma Conference
Bass Memorial Academy Seventh-day Adventist Church,Gulf States Conference
Bastrop Seventh-day Adventist Church,Texas Conference
Bastrop Spanish Mission Group,Texas Conference
Batavia Seventh-day Adventist Church,New York Conference
Batesburg Hispanic Seventh-day Adventist Church,South Atlantic Conference
Batesburg-Leesville Three Angels Church,Carolina Conference
Batesville Seventh-day Adventist Church,Arkansas-Louisiana Conference
Bath Seventh-day Adventist Church,Northern New England Conference
Bath Seventh-day Adventist Group,New York Conference
Bathurst Seventh-day Adventist Company,Maritime Conference
Baton Rouge Seventh-day Adventist Church,Arkansas-Louisiana Conference
Baton Rouge Spanish Seventh-day Adventist Church,Arkansas-Louisiana Conference
Battle Creek Berean Seventh-day Adventist Church,Lake Region Conference
Battle Creek Korean Seventh-day Adventist Company,Michigan Conference
Battle Creek Spanish Seventh-day Adventist Church,Michigan Conference
Battle Creek Tabernacle,Michigan Conference
Battle Creek Zomi Group,Michigan Conference
Battlefield Community Seventh-day Adventist Church,Georgia-Cumberland Conference
Battlefords Seventh-day Adventist Church,Manitoba-Saskatchewan Conference
Bauer Seventh-day Adventist Church,Michigan Conference
Baxley Hispanic Seventh-day Adventist Church,Georgia-Cumberland Conference
Bay Area Ghana Adventist Fellow Group,Northern California Conference
Bay City Seventh-day Adventist Church,Michigan Conference
Bay Ridge Spanish Seventh-day Adventist Church,Greater New York Conference
Bay Roberts Seventh-day Adventist Church,SDA Church in Newfoundland and Labrador
Bay Seventh-day Adventist Church,Gulf States Conference
Bay Shore Spanish Seventh-day Adventist Church,Greater New York Conference
Bayanihan Seventh-day Adventist Church (Filipino),Greater New York Conference
Bayonne Spanish Company,New Jersey Conference
Baytown LaPorte Seventh-day Adventist Church,Texas Conference
Baytown Spanish Seventh-day Adventist Church,Texas Conference
Baytown United Seventh-day Adventist Church,Southwest Region Conference
Bazine Seventh-day Adventist Church,Kansas-Nebraska Conference
Beacon Hill Spanish Seventh-day Adventist Company,Washington Conference
Beacon Light Adventist Church,Allegheny East Conference
Beacon Light Seventh-day Adventist Church,Central States Conference
Beacon Light Spanish Company,Allegheny East Conference
Beacon Light Tabernacle Seventh-day Adventist Church,Northeastern Conference
Beacon of Hope,Allegheny West Conference
Beacon of HOPE Seventh-day Adventist Church,Mountain View Conference
Beacon of Joy Seventh-day Adventist Mission,South Central Conference
Beacon of Light Seventh-day Adventist Church,Chesapeake Conference
Beacon of Light Seventh-day Adventist Church,Illinois Conference
Bealeton Spanish Seventh-day Adventist Church,Potomac Conference
Beatrice Seventh-day Adventist Church,Kansas-Nebraska Conference
Beaufort Seventh-day Adventist Church,Carolina Conference
Beaumont Community Seventh-day Adventist Group,South Central Conference
Beaumont Seventh-day Adventist Church,Pennsylvania Conference
Beaumont Seventh-day Adventist Church,Southeastern California Conference
Beaumont Seventh-day Adventist Church,Texas Conference
Beauvallon Seventh-day Adventist Church,Alberta Conference
Beaver City Seventh-day Adventist Church,Kansas-Nebraska Conference
Beaver Dam Hispanic Mission Group,Wisconsin Conference
Beaver Dam Seventh-day Adventist Company,Wisconsin Conference
Beavercreek Seventh-day Adventist Church,Ohio Conference
Beaverton Adventist Church,Oregon Conference
Beaverton Spanish Adventist Church,Oregon Conference
Beckley Seventh-day Adventist Church,Mountain View Conference
Bedford Park Seventh-day Adventist Church,Greater New York Conference
Bedford Seventh-day Adventist Church,Iowa-Missouri Conference
Bedford Seventh-day Adventist Church,Indiana Conference
Bedias Philadelphia Span Mission Group,Texas Conference
Beer-Scheba French Seventh-day Adventist Mission,Northeastern Conference
Beer-Shéba - Église Adventiste,Quebec Conference
Beer-Sheba French Seventh-day Adventist Church,Southeastern Conference
Beeville Seventh-day Adventist Church,Texas Conference
Beiseker Level-Land Seventh-day Adventist Church,Alberta Conference
Beit Shalom Balevav Jewish-Adventist Co.,Oregon Conference
Beit Shalom Seventh-day Adventist Congregation (Company),Greater New York Conference
Belcher Seventh-day Adventist Church,Kentucky-Tennessee Conference
Belen Seventh-day Adventist Church,Texico Conference
Belfair Seventh-day Adventist Church,Washington Conference
Belgrade Adventist Church,Montana Conference
Belgreen Seventh-day Adventist Church,Michigan Conference
Bell Branch Seventh-day Adventist Church,Chesapeake Conference
Bell Gardens Spanish Seventh-day Adventist Company,Southern California Conference
Bella Coola Seventh-day Adventist Church,British Columbia Conference
Bellefontaine Seventh-day Adventist Church,Ohio Conference
Belleview Seventh-day Adventist Church,Florida Conference
Belleville Adventist Church,Ontario Conference
Belleville Heights Seventh-day Adventist Church,Lake Region Conference
Belleville Seventh-day Adventist Church,Michigan Conference
Belleville Spanish Seventh-day Adventist Church,New Jersey Conference
Bellevue Central Spanish Church,Washington Conference
Bellevue Seventh-day Adventist Church,Washington Conference
Bellflower-Lakewood Seventh-day Adventist Church,Southern California Conference
Bellingham Adventist Church,Washington Conference
Bellingham Spanish Seventh-day Adventist Church,Washington Conference
Beloit Hispanic Seventh-day Adventist Company,Wisconsin Conference
Beloit Seventh-day Adventist Church,Wisconsin Conference
Belton 3 Angels Seventh-day Adventist Church,Iowa-Missouri Conference
Beltsville Seventh-day Adventist Church,Potomac Conference
Beltsville Spanish Seventh-day Adventist Church,Potomac Conference
Belvidere Seventh-day Adventist Church,Illinois Conference
Bemidji Seventh-day Adventist Church,Minnesota Conference
Benbrook Seventh-day Adventist Church,Texas Conference
Bend Adventist Church,Oregon Conference
Ben-Emmanuel Seventh-day Adventist Church,Northeastern Conference
Bengali Seventh-day Adventist Group,Northeastern Conference
Bennington Seventh-day Adventist Church,Northern New England Conference
Benson Seventh-day Adventist Church,Arizona Conference
Bentley Seventh-day Adventist Church,Alberta Conference
Benton Harbor Fairplain Seventh-day Adventist Church,Michigan Conference
Benton Harbor Highland Avenue Seventh-day Adventist Church,Lake Region Conference
Benton Harbor Spanish  Seventh-day Adventist Company,Michigan Conference
Benton Seventh-day Adventist Church,Georgia-Cumberland Conference
Benton Seventh-day Adventist Church,Arkansas-Louisiana Conference
Bentonville Seventh-day Adventist Church,Arkansas-Louisiana Conference
